номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,4,М,,,,,,,,,76.08,86,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,14.4.04.08-0001,Эмаль ПФ-115,т,0.009,2.0,0.0006534,80322.25,1.29,103615.7,,67.7,87,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,14.5.09.11-0102,Уайт-спирит,кг,1.4,2.0,0.10164,60.6,1.36,82.42,,8.38,88,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,141.53,89,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,63.53,90,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-013.0-1,НР Защита строительных конструкций и оборудования от коррозии,%,94.0,,94.0,,,,,59.72,91,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-013,СП Защита строительных конструкций и оборудования от коррозии,%,51.0,,51.0,,,,,32.4,92,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,6436.64,,233.65,93,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
7,ГЭСН27-04-001-01,Устройство подстилающих и выравнивающих слоев оснований: из песка( толщ 10мм),100 м3,0.0001,1.0,0.0001,,,,,,94,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"Объем=(0,5*0,5*4*0,010) / 100",,,,,,,,,,95,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.00144,,,,,0.47,96,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
